noCompte,Date,Operation
5000966041,25/06/2021,106.94
5000966041,06/07/2021,27.99
5000966041,11/07/2021,5
5000966041,10/07/2021,108.12
5000966041,10/06/2021,182.71
5000966041,12/07/2021,174.93
5000966041,01/07/2021,105.37
5000966041,18/07/2021,29.85
5000966041,04/07/2021,21.39
5000966041,04/07/2021,76.63
5000966041,14/06/2021,54.88
5000966041,25/07/2021,162.29
5000966041,09/07/2021,155.45
5000966041,06/07/2021,12.55
5000966041,31/07/2021,27.31
5000963883,17/06/2021,43.88
5000963883,03/07/2021,46.54
5000963883,06/07/2021,41.66
5000963883,15/07/2021,70.62
5000963883,09/06/2021,119
5000963883,02/07/2021,169.35
5000963883,18/06/2021,110.87
5000963883,04/06/2021,5
5000963883,02/06/2021,8.48
5000963883,18/07/2021,192.03
5000963883,12/07/2021,15.35
5000963883,23/07/2021,83.96
5000963883,15/07/2021,50.89
5000963883,09/07/2021,175.91
5000963883,11/06/2021,187.09
5000963883,31/07/2021,143
5000963883,07/07/2021,131.06
5000963883,06/07/2021,185.9
5000963883,15/07/2021,56.46
5000963883,30/06/2021,18.02
5000963883,23/06/2021,147.44
5000963883,25/06/2021,190.06
5000963608,01/06/2021,52.88
5000963608,20/07/2021,131.58
5000963608,11/07/2021,42.9
5000963608,25/06/2021,165.16
5000963608,01/06/2021,122.05
5000963608,26/06/2021,86.66
5000963608,18/06/2021,163.59
5000963608,22/07/2021,207.32
5000963608,20/07/2021,129.54
5000963608,25/06/2021,158.45
5000963608,01/07/2021,71.05
5000963608,05/07/2021,44.69
5000963608,20/07/2021,65.17
5000963608,22/06/2021,114.81
5000963608,28/06/2021,213.51
5000963608,11/06/2021,173.49
5000963608,22/07/2021,111.2
5000963608,12/06/2021,133.98
5000963608,30/06/2021,141.11
5000963608,17/07/2021,29.35
5000963608,11/06/2021,42.43
5000963608,15/07/2021,112.09
5000963608,08/07/2021,101.32
5000963608,12/07/2021,179.44
5000963608,01/06/2021,111.34
5000963608,21/06/2021,211.16
5000963608,06/06/2021,210.16
5000963608,17/06/2021,158.08
5000963608,17/06/2021,136.2
5000963608,28/07/2021,140.08
5000959329,11/07/2021,84.14
5000959329,14/07/2021,70.76
5000959329,12/06/2021,151.33
5000959329,01/07/2021,41.08
5000959329,19/06/2021,168.01
5000959329,27/07/2021,115.29
5000959329,07/06/2021,171.21
5000959329,28/07/2021,5
5000959329,05/06/2021,152.18
5000959329,29/06/2021,70.67
5000959329,11/07/2021,129.13
5000959329,22/06/2021,112.62
5000959329,28/07/2021,66.4
5000959329,12/07/2021,182.62
5000959329,30/06/2021,111.94
5000959329,23/07/2021,1
5000959329,09/06/2021,118.05
5000959329,04/07/2021,64.88
5000959329,12/06/2021,56.85
5000959329,01/07/2021,145.47
5000959329,06/07/2021,76.36
5000955836,11/06/2021,155.98
5000955836,18/07/2021,76.73
5000955836,15/06/2021,153.41
5000955836,19/06/2021,43.45
5000955836,15/06/2021,196.41
5000955836,30/07/2021,135.76
5000955836,24/06/2021,148.86
5000955836,15/07/2021,219.01
5000955836,20/06/2021,128.59
5000955836,16/07/2021,198.3
5000955836,12/07/2021,223.68
5000955836,20/07/2021,95.95
5000955836,13/07/2021,49.77
5000955836,04/07/2021,87.78
5000955836,05/06/2021,127.3
5000955836,01/07/2021,219.57
5000955836,26/06/2021,93.09
5000951690,06/07/2021,190.91
5000951690,14/06/2021,201.1
5000951690,13/07/2021,103.47
5000951690,06/06/2021,23.18
5000951690,27/07/2021,58.95
5000951690,11/06/2021,146.46
5000951690,22/06/2021,99.97
5000951690,09/06/2021,55.12
5000951690,15/06/2021,189.82
5000951690,08/07/2021,19.73
5000951690,18/06/2021,109.72
5000951690,06/06/2021,77.04
5000951690,14/07/2021,185.66
5000951690,02/06/2021,43.35
5000951690,04/07/2021,172.57
5000951690,17/06/2021,56.45
5000951690,10/07/2021,37.7
5000951690,24/06/2021,183.42
5000951690,11/07/2021,51.81
5000951690,15/06/2021,51.42
5000951690,26/07/2021,87.62
5000951690,23/07/2021,45.74
5000951690,05/06/2021,33.25
5000951474,06/06/2021,110.43
5000951474,29/06/2021,198.89
5000951474,02/07/2021,104.95
5000951474,12/06/2021,146.89
5000951474,01/06/2021,61.05
5000951474,14/07/2021,86.95
5000951474,23/06/2021,175.5
5000951474,16/07/2021,111.21
5000951474,02/07/2021,129.83
5000951474,11/06/2021,141.5
5000951474,14/06/2021,118.55
5000951474,09/06/2021,76.92
5000951474,04/06/2021,43.65
5000951474,26/06/2021,156.24
5000951474,16/06/2021,209.17
5000951474,28/07/2021,98.58
5000951474,08/07/2021,17.24
5000951474,07/07/2021,36.33
5000951474,10/07/2021,174.79
5000951474,23/07/2021,26.78
5000951474,18/07/2021,63.73
5000951474,10/07/2021,134.67
5000951474,05/07/2021,177.71
5000951474,29/07/2021,150.17
5000951474,17/07/2021,199.39
5000948389,28/06/2021,41.64
5000948389,20/06/2021,225.9
5000948389,29/06/2021,197.78
5000948389,08/06/2021,198.91
5000948389,22/06/2021,219.29
5000948389,11/07/2021,215.74
5000948389,11/06/2021,178.09
5000948389,15/07/2021,88.71
5000948389,01/06/2021,159.4
5000948389,25/07/2021,201.06
5000948389,25/06/2021,190.38
5000948389,23/07/2021,36.17
5000948389,16/06/2021,72.7
5000948389,10/06/2021,102.91
5000948389,16/06/2021,94.29
5000948389,24/07/2021,71.31
5000946721,09/06/2021,174.06
5000946721,12/07/2021,120.07
5000946721,01/06/2021,56.07
5000946721,03/07/2021,160.95
5000946721,30/06/2021,122.41
5000946721,03/07/2021,110.1
5000946721,10/07/2021,111.45
5000946721,20/07/2021,86.65
5000946721,08/07/2021,47.44
5000946721,07/07/2021,176.21
5000946721,23/07/2021,176.35
5000946721,08/07/2021,68.96
5000946721,09/07/2021,91.93
5000946721,12/06/2021,143.9
5000946721,26/06/2021,42.97
5000946721,18/06/2021,42.34
5000946721,22/07/2021,27.89
5000946721,21/06/2021,37.35
5000945794,29/07/2021,134.01
5000945794,24/07/2021,215.1
5000945794,10/06/2021,120.81
5000945794,22/06/2021,200.6
5000945794,16/07/2021,171.47
5000945794,10/07/2021,44.83
5000945794,26/07/2021,58.29
5000945794,14/07/2021,98.35
5000945794,26/06/2021,212.06
5000945794,24/06/2021,101.02
5000945794,26/07/2021,195.9
5000945794,04/07/2021,70.11
5000945794,18/07/2021,218.16
5000945794,06/07/2021,151.79
5000945794,30/07/2021,99.36
5000945794,08/07/2021,207.32
5000945794,18/06/2021,206.81
5000945794,30/07/2021,172.74
5000945187,08/06/2021,171.13
5000945187,25/07/2021,167.05
5000945187,17/06/2021,214.89
5000945187,10/06/2021,227.49
5000945187,22/07/2021,66.61
5000945187,01/06/2021,234.12
5000945187,01/06/2021,142.85
5000945187,17/07/2021,136.62
5000945187,17/07/2021,135.98
5000945187,14/06/2021,89.5
5000945187,21/07/2021,69.31
5000945187,18/07/2021,68.16
5000945187,30/07/2021,207.21
5000945187,04/06/2021,58.07
5000945187,26/07/2021,95.05
5000945187,15/07/2021,218.86
5000945187,26/07/2021,123.15
5000945187,18/06/2021,208.35
5000945187,03/06/2021,240.1
5000942142,01/06/2021,158.76
5000942142,23/06/2021,214.89
5000942142,17/07/2021,99.06
5000942142,27/06/2021,100.81
5000942142,14/07/2021,27.56
5000942142,30/06/2021,114.65
5000942142,05/06/2021,128.26
5000942142,04/07/2021,100.17
5000942142,07/07/2021,41.58
5000942142,15/07/2021,158.7
5000942142,28/07/2021,172.27
5000942142,24/06/2021,169.31
5000942142,10/06/2021,170.98
5000942142,31/07/2021,177.62
5000942142,10/06/2021,212.79
5000942142,22/07/2021,53.37
5000942142,26/07/2021,111.52
5000942142,15/06/2021,184.2
5000942142,28/06/2021,118.11
5000942142,03/06/2021,49.87
5000942142,26/06/2021,184.32
5000942142,20/07/2021,87.82
5000942142,15/06/2021,60.61
5000942142,21/06/2021,66.49
5000940338,31/07/2021,205.55
5000940338,26/06/2021,74.3
5000940338,20/07/2021,130.22
5000940338,27/07/2021,47.02
5000940338,01/06/2021,177.76
5000940338,28/06/2021,216.44
5000940338,19/06/2021,118.31
5000940338,17/06/2021,192
5000940338,02/07/2021,108.75
5000940338,20/07/2021,211.24
5000940338,13/06/2021,107.49
5000940338,03/06/2021,205.4
5000940338,29/06/2021,210.87
5000940338,29/06/2021,29.1
5000939384,08/06/2021,158.8
5000939384,18/06/2021,144.97
5000939384,13/06/2021,137.81
5000939384,21/07/2021,116
5000939384,25/06/2021,95.35
5000939384,17/07/2021,97.64
5000939384,04/06/2021,32.19
5000939384,11/06/2021,33.98
5000939384,23/06/2021,142.44
5000939384,10/07/2021,157.02
5000939384,21/07/2021,39.05
5000939384,14/07/2021,56.83
5000939384,30/07/2021,146.68
5000939384,21/07/2021,75.89
5000939384,17/07/2021,159.54
5000939384,07/06/2021,101.44
5000939384,10/07/2021,21.95
5000939384,15/06/2021,14.41
5000939384,16/06/2021,187.99
5000939384,18/06/2021,31.79
5000939384,14/06/2021,92.66
5000937984,01/06/2021,33
5000937984,09/06/2021,75.7
5000937984,19/07/2021,151.82
5000937984,07/06/2021,197.4
5000937984,07/06/2021,123.89
5000937984,05/06/2021,178.79
5000937984,02/07/2021,27.25
5000937984,01/06/2021,213.22
5000937984,15/06/2021,150.6
5000937984,21/06/2021,129.4
5000937984,06/07/2021,124.15
5000937984,17/07/2021,177.73
5000937984,22/06/2021,102.74
5000937984,21/06/2021,191.13
5000937984,25/06/2021,75.72
5000937984,29/06/2021,43.41
5000937984,15/07/2021,129.65
5000937984,26/06/2021,196.3
5000934871,25/06/2021,72.74
5000934871,14/07/2021,171.68
5000934871,30/06/2021,153.46
5000934871,31/07/2021,211.75
5000934871,16/07/2021,69.45
5000934871,14/06/2021,63.15
5000934871,12/06/2021,133.21
5000934871,07/06/2021,44.91
5000934871,24/06/2021,171.93
5000934871,01/06/2021,151.8
5000934871,11/07/2021,88.18
5000934871,25/06/2021,32.3
5000934871,21/06/2021,169.34
5000934871,28/06/2021,128.96
5000934871,29/07/2021,199.56
5000934871,20/06/2021,115.52
5000934871,25/07/2021,65.2
5000934871,01/07/2021,147.35
5000934871,07/06/2021,191.26
5000934871,10/07/2021,193.8
5000934871,11/07/2021,158.22
5000934871,21/07/2021,75.48
5000934871,05/06/2021,103.57
5000934871,20/07/2021,214.58
5000931699,03/07/2021,101.02
5000931699,19/06/2021,120.71
5000931699,02/06/2021,48.95
5000931699,04/07/2021,54.12
5000931699,28/06/2021,25.86
5000931699,08/06/2021,3.21
5000931699,07/07/2021,11.3
5000931699,19/07/2021,96.64
5000931699,22/07/2021,169.21
5000931699,09/07/2021,30.33
5000931699,04/07/2021,177.05
5000931699,04/06/2021,83.17
5000931699,07/07/2021,115
5000931699,17/06/2021,80.72
5000931699,05/07/2021,152.25
5000931699,26/07/2021,79.66
5000931699,15/07/2021,136.5
5000931699,29/06/2021,152.35
5000930542,31/07/2021,86.48
5000930542,05/07/2021,140.58
5000930542,17/07/2021,87.77
5000930542,08/07/2021,104.93
5000930542,24/07/2021,44.01
5000930542,29/06/2021,43.61
5000930542,20/06/2021,184.65
5000930542,06/07/2021,84.77
5000930542,03/06/2021,187.89
5000930542,10/06/2021,162
5000930542,14/07/2021,198.99
5000930542,02/06/2021,99.58
5000930542,25/07/2021,155.81
5000930542,30/06/2021,14.61
5000930542,17/07/2021,64.1
5000930542,18/06/2021,210.87
5000930542,17/07/2021,62.73
5000930542,22/06/2021,167.63
5000930542,05/06/2021,88.64
5000930542,11/07/2021,167.8
5000930542,18/07/2021,78.07
5000930542,07/07/2021,52.49
5000928826,13/07/2021,144.78
5000928826,02/07/2021,5
5000928826,21/06/2021,109.27
5000928826,04/07/2021,144.79
5000928826,31/07/2021,108.96
5000928826,09/06/2021,55.4
5000928826,21/07/2021,121.93
5000928712,08/07/2021,45.87
5000928712,20/07/2021,199.76
5000928712,11/06/2021,25.84
5000928712,11/06/2021,155.75
5000928712,20/07/2021,64.91
5000928712,26/07/2021,31.13
5000928712,26/06/2021,118.87
5000928712,31/07/2021,121.13
5000928712,28/07/2021,107.78
5000928712,05/07/2021,99.48
5000928712,04/06/2021,206.9
5000928712,17/06/2021,49.51
5000928712,18/07/2021,44.23
5000928712,10/06/2021,133.1
5000928712,01/07/2021,23.16
5000928712,26/06/2021,153.84
5000928712,15/06/2021,203.8
5000928712,29/06/2021,214.15
5000928712,03/07/2021,19.77
5000928712,25/07/2021,140.76
5000928712,14/06/2021,157.96
5000928712,25/07/2021,19.85
5000928712,13/07/2021,61.17
5000928712,05/07/2021,51.04
5000928712,05/06/2021,65.1
5000928561,30/07/2021,55.73
5000928561,13/06/2021,147.88
5000928561,04/07/2021,24.2
5000928561,13/06/2021,106.41
5000928561,19/07/2021,195.3
5000928561,15/06/2021,170.49
5000928561,28/07/2021,82.27
5000928561,17/07/2021,176.32
5000928561,15/07/2021,6.9
5000928561,17/06/2021,182.38
5000928561,10/07/2021,104.69
5000928561,23/06/2021,14.77
5000928561,13/07/2021,157.63
5000928561,19/07/2021,123.2
5000928561,25/06/2021,150.13
5000928561,15/06/2021,179.63
5000928561,16/07/2021,131.47
5000928561,12/07/2021,36.61
5000928561,12/06/2021,48.73
5000928561,06/06/2021,129.46
5000928561,14/06/2021,45.86
5000928561,01/07/2021,97.77
5000928561,07/06/2021,192.53
5000928561,28/06/2021,195.14
5000928561,27/06/2021,124.16
5000928561,25/06/2021,49.66
5000928561,09/07/2021,186.87
5000928561,28/06/2021,3.29
5000928561,06/07/2021,42.95
5000928561,19/07/2021,111.16
5000928561,11/06/2021,20.06
5000928561,25/06/2021,21.2
5000927737,19/06/2021,191.88
5000927737,19/07/2021,103.78
5000927737,26/06/2021,201
5000927737,11/07/2021,185.26
5000927737,10/07/2021,177.85
5000927737,26/07/2021,174.6
5000927737,15/06/2021,58.26
5000927737,18/07/2021,79.56
5000927737,30/06/2021,77.45
5000927737,02/07/2021,58.12
5000927737,17/07/2021,199.51
5000927737,01/06/2021,128.85
5000927737,10/06/2021,137.39
5000927737,08/07/2021,107.54
5000927737,21/06/2021,114.66
5000927737,29/07/2021,47.92
5000927737,14/06/2021,105.5
5000927737,08/06/2021,101.77
5000927737,24/07/2021,141.73
5000927737,25/06/2021,204.27
5000927737,16/06/2021,206.7
5000927737,22/07/2021,76.57
5000927561,01/06/2021,64.22
5000927561,30/07/2021,51.34
5000927561,31/07/2021,134.39
5000927561,24/06/2021,155.64
5000927561,30/06/2021,224.3
5000927561,29/06/2021,160.99
5000927561,06/06/2021,222.58
5000927561,28/06/2021,67.36
5000927561,31/07/2021,86.85
5000927561,18/06/2021,45.6
5000927561,13/07/2021,155.94
5000927561,03/06/2021,79.52
5000927046,01/07/2021,50.12
5000927046,28/07/2021,141.53
5000927046,03/06/2021,122.04
5000927046,16/07/2021,180.92
5000927046,24/07/2021,172.91
5000927046,20/07/2021,46.64
5000927046,24/07/2021,29.84
5000927046,29/06/2021,53.54
5000927046,30/06/2021,181.72
5000927046,20/07/2021,170.57
5000927046,30/06/2021,25.59
5000927046,28/06/2021,26.71
5000927046,27/07/2021,139.82
5000927046,19/07/2021,156.18
5000927046,03/06/2021,188.61
5000927046,04/06/2021,167.16
5000927046,01/06/2021,182.16
5000927046,26/06/2021,135.95
5000927046,10/06/2021,94.34
5000927046,08/07/2021,53.1
5000926513,10/07/2021,123.13
5000926513,11/06/2021,173.48
5000926513,01/07/2021,122.69
5000926513,29/06/2021,110.46
5000926513,19/06/2021,98.14
5000926513,28/07/2021,16.15
5000926513,01/06/2021,146.88
5000926513,01/07/2021,179.89
5000926513,26/07/2021,121.76
5000926513,19/06/2021,35.14
5000926513,09/07/2021,201.79
5000926513,16/06/2021,124.94
5000926513,07/07/2021,6.69
5000926513,16/07/2021,13.14
5000926513,15/07/2021,84.14
5000926513,04/07/2021,50.34
5000926513,29/06/2021,181.66
5000926394,04/07/2021,113.06
5000926394,28/07/2021,44.4
5000926394,18/06/2021,5
5000926394,07/07/2021,65.26
5000926394,14/07/2021,39.19
5000926394,30/07/2021,47.04
5000926394,08/06/2021,78.58
5000926394,10/06/2021,84.89
5000926394,04/07/2021,143.93
5000926394,24/07/2021,12
5000926394,09/06/2021,16.75
5000926394,09/06/2021,132.69
5000926394,01/06/2021,42.33
5000926394,08/06/2021,57.45
5000926394,29/06/2021,5
5000926394,02/06/2021,1
5000926394,10/06/2021,122.34
5000926394,16/06/2021,8.28
5000924271,09/07/2021,87.67
5000924271,03/07/2021,187.95
5000924271,26/07/2021,171.6
5000924271,07/06/2021,226.3
5000924271,02/06/2021,187.69
5000924271,21/06/2021,43.91
5000924271,07/07/2021,169
5000924271,23/06/2021,176.89
5000924271,01/06/2021,66.81
5000924271,25/06/2021,46.58
5000924271,13/06/2021,208.87
5000924271,09/06/2021,225.15
5000924271,23/06/2021,177.61
5000924271,31/07/2021,120.69
5000924271,24/06/2021,135.45
5000924271,09/07/2021,219.42
5000924271,18/07/2021,194.38
5000924271,19/07/2021,32.52
5000921208,09/07/2021,182.25
5000921208,22/06/2021,59.5
5000921208,02/06/2021,154.76
5000921208,17/06/2021,21.6
5000921208,22/06/2021,105.92
5000921208,26/07/2021,124.99
5000921208,28/07/2021,94.03
5000921208,20/06/2021,105.47
5000921208,21/07/2021,123.88
5000921208,07/07/2021,61.62
5000921208,05/06/2021,19.01
5000921208,11/06/2021,130.86
5000921208,24/06/2021,61.07
5000921208,09/07/2021,157.12
5000921208,09/07/2021,164.46
5000921208,29/06/2021,213.8
5000921208,08/07/2021,149.71
5000921208,12/06/2021,141.98
5000921208,03/06/2021,120.22
5000921208,15/07/2021,99.74
5000921208,18/06/2021,83.96
5000921208,28/06/2021,49.5
5000921208,29/06/2021,87.04
5000921208,06/07/2021,157.83
5000921208,27/07/2021,194.39
5000921208,20/06/2021,102.4
5000921208,23/07/2021,102.54
5000920700,10/07/2021,118.28
5000920700,08/06/2021,106.4
5000920700,13/06/2021,179.29
5000920700,11/06/2021,8.28
5000920700,24/06/2021,164.38
5000920700,26/07/2021,73.61
5000920700,28/06/2021,118.14
5000920700,10/06/2021,152.13
5000920700,21/06/2021,154.59
5000920700,12/07/2021,106.39
5000920700,07/07/2021,179.35
5000920700,25/07/2021,168.52
5000920700,04/07/2021,72.23
5000920700,17/07/2021,119.9
5000920700,24/07/2021,91.03
5000920700,01/06/2021,187.12
5000920700,17/06/2021,35.69
5000920700,25/07/2021,63.45
5000920700,24/06/2021,160.06
5000920700,18/06/2021,145.15
5000920700,03/06/2021,34.78
5000918947,08/07/2021,205.26
5000918947,19/06/2021,205.59
5000918947,21/07/2021,130.63
5000918947,21/07/2021,180.17
5000918947,21/07/2021,117.24
5000918947,11/06/2021,149.78
5000918947,14/06/2021,102.01
5000918947,10/07/2021,215.44
5000918947,22/06/2021,187.55
5000918947,11/07/2021,223.54
5000918947,27/07/2021,196.78
5000918947,01/06/2021,83.89
5000918947,22/07/2021,81.11
5000918947,09/07/2021,119.76
5000918947,01/07/2021,89.47
5000918947,03/06/2021,250.93
5000918947,12/06/2021,197.81
5000918947,17/06/2021,73.43
5000918947,30/06/2021,236.76
5000917046,25/06/2021,175.25
5000917046,18/07/2021,210
5000917046,01/07/2021,204.61
5000917046,16/06/2021,28.31
5000917046,01/06/2021,156.09
5000917046,10/07/2021,171.33
5000917046,04/07/2021,64.22
5000917046,10/07/2021,110.69
5000917046,07/07/2021,206.66
5000917046,24/06/2021,132.85
5000917046,10/07/2021,103.95
5000917046,16/07/2021,94.06
5000917046,02/06/2021,155.8
5000917046,06/07/2021,94.35
5000917046,15/07/2021,181.57
5000917046,04/07/2021,206.27
5000917046,20/06/2021,77.34
5000917046,16/07/2021,187.98
5000917046,05/06/2021,60.81
5000917046,15/06/2021,28.69
5000917046,16/06/2021,203.08
5000917046,31/07/2021,124.04
5000917046,13/06/2021,142.9
5000917046,02/07/2021,38.46
5000917046,13/06/2021,112.54
5000917046,28/07/2021,64.64
5000917046,18/06/2021,127.75
5000917046,15/06/2021,203.88
5000917046,20/06/2021,143.36
5000916584,30/07/2021,84.44
5000916584,09/06/2021,139.7
5000916584,14/07/2021,114.53
5000916584,11/07/2021,37.91
5000916584,03/07/2021,63.03
5000916584,30/07/2021,36.82
5000916584,25/06/2021,118.83
5000916584,24/06/2021,30.67
5000916584,06/07/2021,192.08
5000916584,11/07/2021,112.03
5000916584,13/07/2021,206.08
5000916584,22/06/2021,209.63
5000916584,15/06/2021,31.08
5000916584,12/06/2021,104.57
5000916584,15/07/2021,20.47
5000916584,02/06/2021,195.78
5000916185,25/06/2021,159.33
5000916185,24/07/2021,129.94
5000916185,21/07/2021,57.87
5000916185,20/07/2021,121.05
5000916185,08/06/2021,124.55
5000916185,17/06/2021,128.63
5000916185,23/06/2021,11.31
5000916185,03/06/2021,35.92
5000916185,26/06/2021,31.43
5000916185,24/06/2021,42.08
5000916185,31/07/2021,166.4
5000916185,21/07/2021,78.26
